country,province,lastDate,latitude,longitude,date,confirmed,confirmedNew,confirmedNewMean,deaths,deathsNew,deathsNewMean
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-01-28,4,0,0.42857142857142855,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-01-29,4,0,0.42857142857142855,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-01-30,4,0,0.42857142857142855,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-01-31,11,7,1.2857142857142858,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-01,12,1,1.4285714285714286,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-02,15,3,1.7142857142857142,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-03,15,0,1.5714285714285714,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-04,16,1,1.7142857142857142,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-05,19,3,2.142857142857143,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-06,23,4,2.7142857142857144,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-07,24,1,1.8571428571428572,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-08,24,0,1.7142857142857142,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-09,25,1,1.4285714285714286,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-10,27,2,1.7142857142857142,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-11,28,1,1.7142857142857142,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-12,28,0,1.2857142857142858,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-13,28,0,0.7142857142857143,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-14,28,0,0.5714285714285714,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-15,28,0,0.5714285714285714,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-16,29,1,0.5714285714285714,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-17,30,1,0.42857142857142855,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-18,31,1,0.42857142857142855,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-19,31,0,0.42857142857142855,0,0,0.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-20,104,73,10.857142857142858,1,1,0.14285714285714285
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-21,204,100,25.142857142857142,2,1,0.2857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-22,433,229,57.857142857142854,2,0,0.2857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-23,602,169,81.85714285714286,6,4,0.8571428571428571
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-24,833,231,114.71428571428571,8,2,1.1428571428571428
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-25,977,144,135.14285714285714,10,2,1.4285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-26,1261,284,175.71428571428572,12,2,1.7142857142857142
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-27,1766,505,237.42857142857142,13,1,1.7142857142857142
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-28,2337,571,304.7142857142857,13,0,1.5714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-02-29,3150,813,388.14285714285717,16,3,2.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-01,3736,586,447.7142857142857,17,1,1.5714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-02,4335,599,500.2857142857143,28,11,2.857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-03,5186,851,601.2857142857143,28,0,2.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-04,5621,435,622.8571428571429,35,7,3.2857142857142856
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-05,6088,467,617.4285714285714,35,0,3.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-06,6593,505,608.0,42,7,4.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-07,7041,448,555.8571428571429,44,2,4.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-08,7314,273,511.14285714285717,50,6,4.714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-09,7478,164,449.0,53,3,3.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-10,7513,35,332.42857142857144,54,1,3.7142857142857144
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-11,7755,242,304.85714285714283,60,6,3.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-12,7869,114,254.42857142857142,66,6,4.428571428571429
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-13,7979,110,198.0,66,0,3.4285714285714284
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-14,8086,107,149.28571428571428,72,6,4.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-15,8162,76,121.14285714285714,75,3,3.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-16,8236,74,108.28571428571429,75,0,3.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-17,8320,84,115.28571428571429,81,6,3.857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-18,8413,93,94.0,84,3,3.4285714285714284
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-19,8565,152,99.42857142857143,91,7,3.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-20,8652,87,96.14285714285714,94,3,4.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-21,8799,147,101.85714285714286,102,8,4.285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-22,8961,162,114.14285714285714,111,9,5.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-23,8961,0,103.57142857142857,111,0,5.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-24,9037,76,102.42857142857143,120,9,5.571428571428571
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-25,9137,100,103.42857142857143,126,6,6.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-26,9241,104,96.57142857142857,131,5,5.714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-27,9332,91,97.14285714285714,139,8,6.428571428571429
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-28,9478,146,97.0,144,5,6.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-29,9583,105,88.85714285714286,152,8,5.857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-30,9661,78,100.0,158,6,6.714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-03-31,9786,125,107.0,162,4,6.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-01,9887,101,107.14285714285714,165,3,5.571428571428571
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-02,9976,89,105.0,169,4,5.428571428571429
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-03,10062,86,104.28571428571429,174,5,5.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-04,10156,94,96.85714285714286,177,3,4.714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-05,10237,81,93.42857142857143,183,6,4.428571428571429
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-06,10284,47,89.0,186,3,4.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-07,10331,47,77.85714285714286,192,6,4.285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-08,10384,53,71.0,200,8,5.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-09,10423,39,63.857142857142854,204,4,5.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-10,10450,27,55.42857142857143,208,4,4.857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-11,10480,30,46.285714285714285,211,3,4.857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-12,10512,32,39.285714285714285,214,3,4.428571428571429
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-13,10537,25,36.142857142857146,217,3,4.428571428571429
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-14,10564,27,33.285714285714285,222,5,4.285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-15,10591,27,29.571428571428573,225,3,3.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-16,10613,22,27.142857142857142,229,4,3.5714285714285716
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-17,10635,22,26.428571428571427,230,1,3.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-18,10653,18,24.714285714285715,232,2,3.0
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-19,10661,8,21.285714285714285,234,2,2.857142857142857
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-20,10674,13,19.571428571428573,236,2,2.7142857142857144
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-21,10683,9,17.0,237,1,2.142857142857143
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-22,10694,11,14.714285714285714,238,1,1.8571428571428572
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-23,10708,14,13.571428571428571,240,2,1.5714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-24,10718,10,11.857142857142858,240,0,1.4285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-25,10728,10,10.714285714285714,242,2,1.4285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-26,10738,10,11.0,243,1,1.2857142857142858
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-27,10752,14,11.142857142857142,244,1,1.1428571428571428
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-28,10761,9,11.142857142857142,246,2,1.2857142857142858
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-29,10765,4,10.142857142857142,247,1,1.2857142857142858
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-04-30,10774,9,9.428571428571429,248,1,1.1428571428571428
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-01,10780,6,8.857142857142858,250,2,1.4285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-02,10793,13,9.285714285714286,250,0,1.1428571428571428
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-03,10801,8,9.0,252,2,1.2857142857142858
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-04,10804,3,7.428571428571429,254,2,1.4285714285714286
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-05,10806,2,6.428571428571429,255,1,1.2857142857142858
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-06,10810,4,6.428571428571429,256,1,1.2857142857142858
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-07,10822,12,6.857142857142857,256,0,1.1428571428571428
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-08,10840,18,8.571428571428571,256,0,0.8571428571428571
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-09,10874,34,11.571428571428571,256,0,0.8571428571428571
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-10,10909,35,15.428571428571429,256,0,0.5714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-11,10936,27,18.857142857142858,258,2,0.5714285714285714
Korea, South,,2020-11-22,35.907757000000004,127.766922,2020-05-12,10962,26,22.285714285714285,259,1,0.5714285714285714
